Years,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Global.CP Demand Input Soy,28787.0424564,35118.2765426,35805.0784435,43728.6880278,43750.8169061,47288.6570363,49764.0593194,50511.4767239,48891.7572894,49256.1016446,51046.8557535,52127.465578,53512.2937674,54767.7211694,56028.765635,57333.314845,58632.9616483,59928.2734606,61205.7178201,62488.6809878,63820.8018479,65203.3015189,66118.1276047,66897.4377988,67589.7785562,68306.284122,69092.9479768,69937.2204725,70849.2775092,71862.0793427,73378.28546
Global.CP Demand Input Maize,5661.36506902,6132.00463665,6500.19805511,7287.29845014,8258.50570905,8104.6611782,8226.74899179,8297.34065982,7551.68874992,7557.01900367,8271.49475409,8472.58033192,8587.85029437,8674.80141734,8746.17363632,8816.7024516,8902.49468255,8999.61799903,9104.15743093,9217.61413025,9341.81881528,9467.26192554,9505.02956473,9553.46729711,9674.46023115,9855.73548082,10072.0998743,10300.8628628,10532.0072681,10764.5356319,11125.844337
Global.AP Demand Input,348.866392555,420.204091474,502.67190895,740.174276684,847.81460276,912.057247453,884.279153309,948.443133264,747.19170623,756.111240233,864.53484494,854.684418729,844.74423345,841.090171848,842.909573935,847.166467858,852.163421681,858.6568192,865.89727948,874.494267317,886.258111824,898.899914864,890.453584471,882.03866687,877.979419956,878.995465633,883.39550111,889.496287737,897.292852524,907.156285175,924.523878909
