Years,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Global.CP Demand Input Soy,37304.8458826,27234.3485733,37159.2548195,50761.3188756,57822.9890678,58359.1233116,57759.9975025,56630.7182125,55403.1329763,55371.9409946,56999.0921632,59163.0969263,60967.7482786,62421.458169,63697.4138842,65257.5463501,66640.4639249
Global.CP Demand Input Maize,7077.58777491,-6149.54184409,15086.109283,34613.2397812,40523.843922,41544.6780472,38574.5616064,29534.5761567,24036.2889408,27498.3299589,31000.6078491,31992.7502108,33000.6032224,33953.2216894,34697.0812444,36371.1232228,35856.8645466
Global.AP Demand Input,1257.60658351,1443.45333759,1707.41866281,2019.70326697,2423.04412087,2724.23428503,2716.5459954,2463.3365162,2232.76789562,2315.83207801,2428.4715842,2526.44758535,2604.54611178,2670.9675575,2732.15457278,2801.3298013,2863.38210391
Global.Dairy Demand Input,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
