Years,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
"Global.cp total import to from[Maize, RSASIA, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, RSASIA, Brazil]",0,0,0,0,1.23267351552,0.165526782193,0.197980081318,0.301095544723,3.83367326053,0,3.38195225092,3.33305020117,3.58184392465,3.91384424852,4.28369375056,4.69818505417,5.13331433769,5.59667628142,6.08056518252,6.58374255579,7.08652206825,7.56501992096,7.84193849614,8.18973897581,8.64600722332,9.1835444379,9.81579428306,10.6215494336,11.5756784715,13.6817158968
"Global.cp total import to from[Maize, RSASIA, SOAmer]",133.275344933,163.962259372,113.804571595,101.35490862,60.2602512945,44.8914184543,47.4941432405,12.211352046,31.3993237525,0,41.0542935869,33.9059241021,32.3646223495,32.8977904795,33.9035181492,35.1249838607,36.239829975,37.5455275624,38.9764330968,40.4986015212,42.0724403506,44.3553127451,46.6545809013,49.0914731388,51.550641762,54.0798226587,56.999364476,60.858454067,65.5307825401,76.2544854144
"Global.cp total import to from[Maize, RSASIA, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, RSASIA, EU27]",0,0,0,7.27234261355,9.2648724637,3.12212578477,0,0.237342367399,1.07939755487,0,0.00311379345337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, RSASIA, OthCEECIS]",0,0,0,0,4.40994249911,7.89966858786,5.10881937176,1.24069222831,8.3438977781,0,11.2083057752,9.90580223221,10.5542093774,11.7839358822,13.1684784254,14.8206058106,17.744743472,19.4057419604,20.7214566852,22.1208695428,23.5854070553,25.1021849074,25.7508617698,26.0924411446,26.5627556533,27.6111305854,29.12178497,31.1119813807,33.4629360008,37.9990128267
"Global.cp total import to from[Maize, RSASIA, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, RSASIA, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, RSASIA, Russia]",14.5918738103,19.5730402449,27.7810301629,41.563893591,25.6655315102,18.5428227714,13.5231547937,4.18859387973,15.4577973539,0,19.0520235617,18.681458924,19.450627301,20.6257716932,22.0949269322,23.7679398919,25.4856025415,27.2462734471,29.0667115129,30.9127599053,32.7406201869,35.7215981117,38.4733087682,41.8591031045,45.3139332323,49.0518377266,53.3120904493,58.597429298,64.9144567614,78.60410086
"Global.cp total import to from[Maize, RSASIA, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, RSASIA, INDIA]",61.7619641123,57.8103206408,6.53424738886,4.33203634882,5.39450892537,2.45817900648,2.80133914261,1.14277550617,4.18873554669,0,4.73578958178,4.49680319117,3.77091055557,3.00939790904,2.19728558941,1.33787216939,0.34820390502,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, RSASIA, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, RSASIA, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, RSASIA, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, RSASIA, RSEASIA]",0,0,0,0,0,0,0,0.00243081376311,0.777360681816,0,1.21425598893,0.45342898248,0.0630065461583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, RSASIA, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, RSASIA, OCEANIA]",73.4273446045,90.7167275053,79.8041347636,97.6358835176,55.2829292063,39.437999643,43.7491800205,10.8520103106,24.6468679673,0,39.8526606055,39.5428428396,41.7990162624,44.8949261764,48.0429155334,51.7938888152,56.033343699,60.4142828779,64.6755925674,69.1247985197,73.7220847754,78.7240311946,81.322403684,84.3815456283,88.6855619303,93.6088900658,99.2246108649,106.307958215,114.551850522,132.741222802
"Global.cp total import to from[Maize, EASIA, CAN]",0,711.252728867,781.078060389,824.639946964,902.998876087,910.657320636,850.499945793,937.767817314,724.586945171,647.935861125,893.546403078,854.041087597,824.422170664,795.411580082,775.556880621,752.199644128,717.222353776,675.715452004,630.839431816,586.56559981,548.736008019,566.588777901,569.833382061,571.712970638,579.576628609,584.365266371,584.467233629,579.03703774,570.031009083,568.142307084
"Global.cp total import to from[Maize, EASIA, USA]",4182.07194672,4401.35156034,3799.82327119,4085.9520085,3998.04851182,4255.90696518,4296.66199099,4595.91881644,4438.74937614,3010.44449789,3508.11458799,3724.79418357,3819.46272599,3860.50010538,3840.62414622,3778.20879089,3696.04896684,3621.4166917,3557.1293221,3499.77439809,3475.20507816,3620.01560095,3670.60128428,3696.53819241,3761.61170828,3833.34578462,3901.16912179,3942.87843181,3965.65759866,3937.90878598
"Global.cp total import to from[Maize, EASIA, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, EASIA, Brazil]",228.274158291,319.786702445,344.324628296,411.529251302,499.061481869,376.009307136,396.523905993,549.682188308,606.117033477,576.996002894,642.367355274,683.04376425,712.100864266,729.727748034,738.272314663,739.629755012,736.718930889,733.331602359,730.630440842,728.124408545,730.218240781,740.540971949,736.762351734,738.379551051,751.734230892,767.499300228,782.878324078,793.219775218,799.695918659,797.750193396
"Global.cp total import to from[Maize, EASIA, SOAmer]",1223.30857459,920.033357474,710.769380572,543.095472505,556.705661963,481.388074134,449.079388054,555.32753267,522.313776396,473.586998512,423.686651828,373.195558853,347.132772817,331.593994387,316.211763404,299.447209306,281.778918645,266.597763984,253.824550344,242.745401845,234.943336883,235.282654132,237.511891395,239.827318788,242.864774565,244.897236158,246.331464801,246.268224166,245.30503075,240.923920188
"Global.cp total import to from[Maize, EASIA, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, EASIA, EU27]",235.147034087,646.392789059,0,624.696368931,723.086058024,432.059417847,0,139.359178816,232.230334471,111.920469986,0.413376794213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, EASIA, OthCEECIS]",115.606634126,144.421178006,68.9508706326,0,189.126278437,312.090673972,211.377037366,271.884012153,409.112096907,432.066821432,351.807199948,330.988487819,343.045491521,359.489245455,371.413107577,381.841116739,408.244935443,409.822524286,402.688563924,395.666800223,393.056376602,397.408441594,391.271830737,380.454403399,373.503789743,373.183374541,375.627498221,375.755268725,373.865508843,358.328100568
"Global.cp total import to from[Maize, EASIA, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, EASIA, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, EASIA, Russia]",409.721865757,710.70980917,1023.32518007,1040.52499113,1039.7595248,899.482778062,577.650577102,874.442362623,988.797916393,856.512863356,811.993815229,846.229644282,856.25561631,852.187834983,844.160448484,829.681320426,811.152199247,791.805815506,774.655848037,758.280251943,748.260461769,775.541303809,798.638767442,822.231744805,850.003350949,876.898968119,902.64355719,921.835586645,936.631956672,946.795717886
"Global.cp total import to from[Maize, EASIA, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, EASIA, INDIA]",877.85961166,526.123820812,90.5825989392,55.8373597269,124.52979941,67.0901532905,67.5328143209,155.834727128,175.516474571,0,109.38213447,111.93954927,93.4659939807,70.0734386096,47.3840039997,26.4076990314,6.27998407889,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, EASIA, RSASIA]",0,0,0,0,0,0,0,0,0,2.23905603279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, EASIA, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, EASIA, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, EASIA, RSEASIA]",0,19.8738791584,87.1519254025,29.4116402543,0,0,0,20.6141812785,43.3034821727,44.1835788768,42.1166076565,16.8102427203,2.29501478289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, EASIA, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, EASIA, OCEANIA]",371.377611344,264.326656466,216.833195554,198.094548134,189.64711894,156.435260775,152.99576252,187.972690316,152.866522439,134.025523364,152.031094872,160.07210838,164.339862009,165.612291755,163.860470818,161.393089673,159.192668552,156.713697772,153.852008614,151.347638412,150.389462812,152.558724912,151.251664944,150.605347086,152.645337138,154.86954502,156.66412197,157.164066407,156.6617592,153.221556571
"Global.cp total import to from[Maize, Japan, CAN]",0,355.103828306,421.150295295,466.460171733,524.803132238,524.112501484,510.235986061,547.96695496,422.233072508,394.961132269,539.413564433,502.134687297,485.161197706,473.918903398,469.84318175,466.839172914,457.305284334,443.724472911,424.812493321,405.435884249,385.246652817,396.725877328,394.526540123,390.729484337,387.467378331,381.404834525,372.860559163,364.37812287,355.950906644,351.984011963
"Global.cp total import to from[Maize, Japan, USA]",2143.11299928,2325.99430867,2150.29242248,2413.1871586,2407.82785144,2558.948157,2685.16312652,2794.86317643,2693.14952,1910.8616893,2201.21958969,2276.34393297,2336.32981878,2391.11891395,2418.98905218,2438.07489709,2450.4506057,2472.95571598,2491.18671964,2516.0608492,2537.94726703,2636.84411237,2643.705167,2628.05560569,2615.99424944,2602.66119808,2588.92399755,2581.06556777,2576.01821188,2537.90846713
"Global.cp total import to from[Maize, Japan, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Japan, Brazil]",30.6075905532,43.3208864318,48.8768450829,60.8558877378,88.207109508,58.5811088845,64.1459789248,130.133232489,163.065102259,137.945979584,152.736685244,157.78103829,164.69352307,170.92170306,175.862981225,180.524567739,184.756439797,189.431549489,193.570588486,198.034077535,201.754478813,204.077454554,200.759646044,198.607097077,197.789862897,197.149061887,196.560323976,196.451928065,196.533178253,194.515805365
"Global.cp total import to from[Maize, Japan, SOAmer]",622.910646744,491.108737076,403.767626396,321.236819669,335.244872743,289.586204873,280.466870914,337.553502151,316.667094404,300.520866165,265.935708633,228.011137302,212.148898208,205.105455699,198.832585001,192.868922396,186.43348729,181.652381804,177.352235078,174.094682424,171.15224738,170.94730971,170.633110467,170.076915959,168.475522473,165.856920209,163.062521746,160.806178314,158.945195243,154.880095639
"Global.cp total import to from[Maize, Japan, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Japan, EU27]",124.989423982,347.496259268,0,361.364087502,428.623274328,256.048277351,0,83.2234403317,138.313911207,69.7027671354,0.253547900764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Japan, OthCEECIS]",61.4492403185,78.2057149324,39.261606471,0,112.254256927,177.358305477,126.965953634,159.313600448,239.968255417,266.885996718,214.942881279,196.897975187,204.205214653,216.669022422,227.64372263,239.795632201,263.352483231,272.357766353,274.503166762,276.88696666,279.421554931,281.782906162,274.321579682,263.301472967,252.856534308,246.649352095,242.660620291,239.445382404,236.408346828,224.802745286
"Global.cp total import to from[Maize, Japan, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Japan, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Japan, Russia]",214.790901452,371.552736889,565.508449175,603.740223259,617.484109448,534.120213603,356.115534956,524.402772514,590.594968493,536.50920977,503.106559144,510.636710056,517.127373732,521.108103075,524.894328846,528.537120866,530.893385326,533.76293757,535.553305953,538.137592017,539.426512111,557.638406871,567.590680145,576.214323219,582.414898171,586.424580818,589.899783851,594.160653207,598.960831104,600.57360981
"Global.cp total import to from[Maize, Japan, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Japan, INDIA]",453.952983525,285.720982015,51.4467655029,32.8149714373,74.3211208478,39.9621407683,41.7372875849,93.4536380298,104.850323418,0,67.4991202927,67.2731710461,56.2341562503,42.6740482339,29.3241861061,16.7293046821,4.08287831568,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Japan, RSASIA]",0,0,0,0,0,0,0,0,0,1.38572627088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Japan, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Japan, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Japan, RSEASIA]",0,10.5495353725,48.3270917856,16.9204727805,0,0,0,12.0859561928,25.456867278,27.4301032526,25.8918315603,10.0554162318,1.37080084281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Japan, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Japan, OCEANIA]",182.34731521,134.859758129,118.776416524,113.566420817,110.834041555,91.3480511006,92.7597131783,110.941870902,89.9873478688,82.5408808861,92.6224127956,94.9986385967,97.626948151,99.6231222386,100.234989717,101.148459342,102.505531243,103.936082088,104.649002891,105.677831399,106.671383221,107.928850065,105.804595874,103.995049704,103.105422156,102.127181917,100.978644338,99.924893507,98.8394815563,95.9096320984
"Global.cp total import to from[Maize, RSEASIA, CAN]",0,0,0,0,8.91063779611,21.8523985561,22.4096696531,0,0,0,0,0,0,5.06108053332,13.901159123,22.6794357063,30.5846276406,36.6474300252,41.0473098166,43.8150405588,45.0826714836,46.8681731692,44.5017772063,40.0224895669,35.1358490656,30.5925851835,26.6828962945,23.3079777199,20.3750659776,20.9840217301
"Global.cp total import to from[Maize, RSEASIA, USA]",247.198446512,0,0,0,126.400510608,290.485385741,329.170248739,0,0,0,0,0,0,84.3128308001,242.736340361,405.515174037,563.650615867,704.547984452,832.16123952,941.418795679,1029.2035752,1079.92397414,1033.97369138,933.456516661,822.618962551,723.937414261,642.485387867,572.546522589,511.348555667,524.691052777
"Global.cp total import to from[Maize, RSEASIA, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, RSEASIA, Brazil]",0,0,0,0,0.869232503774,0.698946133519,0.797317256665,0,0,0,0,0,0,0.592140165535,1.78088509036,3.0594978624,4.34997216931,5.53687398411,6.6414756888,7.61515400482,8.41074832192,8.59244980654,8.07178479304,7.25163916358,6.39354186344,5.63704907609,5.01433333039,4.47962303464,4.01030486107,4.13386757444
"Global.cp total import to from[Maize, RSEASIA, SOAmer]",84.6255510337,0,0,0,26.0333196539,43.6901043856,43.1849959453,0,0,0,0,0,0,7.34957026011,18.7676517158,29.380553335,38.8194421164,46.5847462254,53.1773953398,58.3902339493,62.1753662922,62.6974751348,59.7539796424,54.0855893606,47.4311468583,41.3024595888,36.2287732788,31.9351177606,28.2468288163,28.6665295689
"Global.cp total import to from[Maize, RSEASIA, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, RSEASIA, EU27]",0,0,0,0,8.21337939776,10.2977745115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, RSEASIA, OthCEECIS]",0,0,0,0,2.91439338916,13.6736150267,11.7392105946,0,0,0,0,0,0,2.99964977296,9.02455413598,15.8882736629,24.9334480062,31.9603251527,37.7043113886,42.628026872,46.6332935762,47.4941945441,44.1515028966,38.483014008,32.7162812485,28.227657761,24.7769289194,21.8534492887,19.3078039195,19.1217119108
"Global.cp total import to from[Maize, RSEASIA, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, RSEASIA, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, RSEASIA, Russia]",9.26536984337,0,0,0,9.70608021014,17.4972978907,12.0595481764,0,0,0,0,0,0,3.95370861262,11.2032130804,18.6373863519,25.8628404415,32.1923066762,37.8618936476,42.607685699,46.285498268,48.3202825341,47.2851650255,44.7454624345,40.7713349205,36.8700302686,33.5354484776,30.5994395245,28.011901665,29.7884188825
"Global.cp total import to from[Maize, RSEASIA, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, RSEASIA, INDIA]",39.2168577657,0,0,0,4.59520249318,3.87918803947,3.76280922542,0,0,0,0,0,0,0.953236344662,1.59139125112,1.35993457996,0.425629495053,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, RSEASIA, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, RSEASIA, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, RSEASIA, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, RSEASIA, RSEASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, RSEASIA, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, RSEASIA, OCEANIA]",46.6239986188,0,0,0,21.4179710448,35.9255193892,37.7319902028,0,0,0,0,0,0,11.3033005612,32.4297620296,54.2453789279,76.0553604919,95.5657170833,112.842008065,127.645766772,139.648629045,142.691839339,133.574239303,119.22539371,104.647182782,91.6861377005,80.8816613935,71.5419965909,63.3248679242,63.997553156
"Global.cp total import to from[Maize, MALAINDO, CAN]",0,16.802703654,92.4132894912,115.497285803,139.82615578,115.107356619,110.276453901,91.3145366237,75.6854429276,71.2219440584,112.347522547,100.073228759,89.4323292297,79.6820405569,72.6811466071,67.1157903612,62.0197426072,56.6529515989,51.1488227787,46.0234279364,41.3265810751,39.6389130027,36.8560404885,34.8130756494,33.5603321044,32.3874289099,30.3006261689,27.9585446707,25.6238238057,25.114622291
"Global.cp total import to from[Maize, MALAINDO, USA]",1095.58598781,2211.52455899,2716.11299879,2320.72454632,2125.04265414,1858.41993731,2045.71542875,1636.91589481,1696.1134456,1211.47048547,1561.40324362,1588.47425358,1507.93837125,1407.52284951,1309.97158126,1227.00771958,1163.33830696,1105.21132636,1049.85999269,999.545040792,952.58460156,921.664202133,863.935427372,819.093129021,792.61043896,773.106855697,735.963154341,692.775931195,648.684422073,633.452018067
"Global.cp total import to from[Maize, MALAINDO, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MALAINDO, Brazil]",0,0,0,0,8.49366527038,1.08401602103,1.23942712024,6.90088607621,34.1413658494,17.3716938107,22.0094741373,22.0146333302,21.2518530804,20.1121776744,19.0358143227,18.1588744543,17.5309564727,16.92056891,16.3035082318,15.7222213214,15.1324536478,14.2541010641,13.1100855922,12.369599867,11.9753840658,11.7025121522,11.1659358977,10.5368923512,9.8896940065,9.70187719105
"Global.cp total import to from[Maize, MALAINDO, SOAmer]",375.06128874,750.183965546,752.809210742,443.370387286,415.219761892,293.988780345,297.330563726,279.875112012,279.631498776,267.408101373,264.942317355,223.463948654,192.349845179,169.66866916,151.355020189,136.45514575,124.430794949,114.141656977,105.093754238,97.2608325202,90.3526094996,84.051617655,78.4418559101,74.5698387006,71.8090870341,69.3067171062,65.2094842646,60.717853802,56.3056981545,54.3814624036
"Global.cp total import to from[Maize, MALAINDO, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MALAINDO, EU27]",0,0,0,31.8123848656,63.8390656477,20.4464457384,0,5.43971064064,9.61274065719,4.87143133015,0.0197605062098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MALAINDO, OthCEECIS]",0,0,0,0,30.3864526799,51.7340287574,31.9830623344,28.4357436477,74.3078627971,88.6556609891,75.5157412216,68.0521628887,65.2844138454,63.1783235854,61.0647744559,59.7770251951,63.0661255515,61.0944056767,57.8802628654,55.0320346635,52.4677744121,49.273662933,44.848464962,41.0557584153,38.3283776805,36.6543751709,34.5111973146,32.1532076741,29.7832503875,28.071050143
"Global.cp total import to from[Maize, MALAINDO, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MALAINDO, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MALAINDO, Russia]",41.0642118326,89.5534192132,183.769554223,181.818521169,176.846854329,121.434831832,84.6598541173,95.9994582786,137.661787747,117.730409464,123.607829493,123.420328127,115.60814718,106.254374994,98.4648267083,92.1430697523,87.3083423369,82.6357908325,78.1848092559,74.0585852142,70.1396486414,67.5246419096,64.5224556822,63.4036955616,62.9310799589,62.662926679,60.7864243864,58.2558242852,55.5690830055,55.8378535336
"Global.cp total import to from[Maize, MALAINDO, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MALAINDO, INDIA]",173.809505926,264.502183331,43.2235854033,18.9502083309,37.1705504607,16.0983339994,17.5373991324,26.1915651592,37.3034275556,0,28.8081374995,27.472894733,20.533874132,14.2161643059,8.99190034519,4.76925129234,1.09826839969,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MALAINDO, RSASIA]",0,0,0,0,0,0,0,0,0,0.488894756599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MALAINDO, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MALAINDO, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MALAINDO, RSEASIA]",0,0,0,0,0,0,0,0.0557124445901,6.922904909,8.18454560441,8.24289647364,3.14947387968,0.39746008398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MALAINDO, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MALAINDO, OCEANIA]",206.638028285,415.060359876,527.898720267,427.101756367,380.923813104,258.27496242,273.885735599,248.720009858,219.496466998,202.620100063,254.57079332,256.868437312,244.152322637,227.218506475,210.316772656,197.235930442,188.55291245,179.977577126,170.875690748,162.660768156,155.12592391,146.166745478,133.968902591,125.587034529,121.042652933,117.543165741,111.224497682,103.920601387,96.4382992051,92.7538108159
"Global.cp total import to from[Maize, OCEANIA, CAN]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OCEANIA, USA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OCEANIA, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OCEANIA, Brazil]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OCEANIA, SOAmer]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OCEANIA, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OCEANIA, EU27]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OCEANIA, OthCEECIS]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OCEANIA, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OCEANIA, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OCEANIA, Russia]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OCEANIA, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
