Years,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
"Global.cp total import to from[Maize, USA, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, USA, OCEANIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CCAmerica, CAN]",0,1647.38570261,1802.51833412,1983.50965908,2045.28773774,2344.22105196,2116.34811247,2261.50593321,1763.40345911,1671.47037644,2344.83402443,2259.35217125,2214.45432147,2174.94283785,2167.72042713,2167.64459405,2142.88687946,2102.51206186,2039.71266825,1968.28617113,1895.32580555,1985.70448536,2009.69814713,2019.87555948,2039.00969938,2049.26596259,2045.22471028,2036.93592234,2025.3316802,2051.61580617
"Global.cp total import to from[Maize, CCAmerica, USA]",7641.34838479,8910.48749448,7780.03693791,8841.98902713,8302.52737653,9841.89069859,9680.12096481,10058.1411705,9791.34968903,7037.45205158,8377.12354436,8966.47384796,9335.34992284,9602.77930422,9762.96183181,9900.4347795,10039.9538135,10243.0480196,10452.9065059,10670.7218478,10903.5845291,11523.1249894,11758.2173909,11862.509994,12020.5125804,12210.5154602,12399.8588018,12598.5972296,12798.0928213,12916.1044824
"Global.cp total import to from[Maize, CCAmerica, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CCAmerica, Brazil]",1191.94042646,1951.77350653,2256.11731366,2864.00606494,3201.71541994,2768.24330663,2852.35160106,3371.38710901,3534.78199718,3825.61994051,4322.71383358,4633.11295613,4900.85562743,5109.09704286,5281.04350117,5452.89348731,5629.57887359,5834.13360959,6038.28830931,6243.0586366,6442.37667644,6628.35194174,6636.29512642,6662.68867121,6754.59592892,6874.159127,6996.8387874,7126.69007289,7256.71507261,7357.27667359
"Global.cp total import to from[Maize, CCAmerica, SOAmer]",2270.86654421,1814.12701228,1441.54549366,1171.5387375,1157.44149351,1112.64858575,1014.62977946,1218.0228502,1155.72925659,1109.27696087,1012.29589514,900.099657498,851.290087562,828.456604305,807.931649238,789.08331783,770.01991855,758.82497471,750.788457058,745.155478409,742.290946245,754.248384657,766.207721259,775.042770798,781.546195209,785.560616644,788.465077841,792.428648062,797.228473898,795.785933025
"Global.cp total import to from[Maize, CCAmerica, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CCAmerica, EU27]",389.393466472,1247.82103315,0,1430.12268152,1566.84892108,1038.34642378,0,320.195305126,538.436018642,275.307189041,1.04762852234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CCAmerica, OthCEECIS]",191.439658952,273.944474055,139.125037434,0,409.008924024,836.48659754,529.484743895,657.204177569,986.768423429,1087.62148922,903.868917702,857.875270645,903.279944246,963.495662787,1017.22720909,1077.8587904,1195.26470343,1248.72308028,1274.30431363,1298.98614944,1327.82323538,1362.04701392,1349.50276683,1314.5059346,1285.02544047,1279.80083784,1285.4198699,1292.65715089,1299.031087,1265.40086172
"Global.cp total import to from[Maize, CCAmerica, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CCAmerica, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CCAmerica, Russia]",705.319285264,1482.09864915,2233.92084249,2361.00968014,2240.43497713,2148.81132458,1348.8632018,1985.08620961,2272.5463037,2073.57200367,2005.13870851,2106.90939842,2164.85778769,2193.0500122,2220.29240674,2249.63134388,2280.03936621,2317.53446594,2355.66372574,2392.55096205,2429.57775642,2554.82980344,2650.3676243,2741.54364876,2825.83390602,2908.23400102,2988.78927459,3069.84015951,3151.64410824,3239.89140828
"Global.cp total import to from[Maize, CCAmerica, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CCAmerica, INDIA]",1567.29055292,991.013496026,184.138973535,122.772451301,265.722764843,159.573779972,157.296061267,355.080491184,404.397233875,0,273.335352558,282.210372413,239.158599811,182.632980027,126.398661193,72.7572341734,17.9812577794,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CCAmerica, RSASIA]",0,0,0,0,0,0,0,0,0,5.60883643493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CCAmerica, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CCAmerica, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CCAmerica, RSEASIA]",0,39.5768696142,187.826868299,68.0771294836,0,0,0,49.6743359806,103.675819156,109.647065229,106.366023226,42.8950319379,5.97846225087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CCAmerica, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CCAmerica, OCEANIA]",750.032885399,580.745641897,479.280078437,458.756656081,421.809561096,386.57299887,369.470386811,440.605815407,361.40674727,335.776255057,388.432037981,412.126915719,429.537697322,440.495730628,445.392345765,452.211483992,462.380204357,473.944475507,483.394842026,493.385867503,504.499674482,519.22517715,518.034868593,516.733873133,521.52234688,527.425634619,532.391672798,536.912295471,540.551014352,537.320231976
"Global.cp total import to from[Maize, Brazil, CAN]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Brazil, USA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Brazil, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Brazil, Brazil]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Brazil, SOAmer]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Brazil, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Brazil, EU27]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Brazil, OthCEECIS]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Brazil, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Brazil, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Brazil, Russia]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Brazil, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Brazil, INDIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Brazil, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Brazil, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Brazil, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Brazil, RSEASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Brazil, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Brazil, OCEANIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SOAmer, CAN]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SOAmer, USA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SOAmer, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SOAmer, Brazil]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SOAmer, SOAmer]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SOAmer, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SOAmer, EU27]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SOAmer, OthCEECIS]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SOAmer, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SOAmer, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SOAmer, Russia]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SOAmer, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SOAmer, INDIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SOAmer, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SOAmer, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SOAmer, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SOAmer, RSEASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SOAmer, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SOAmer, OCEANIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, REurope, CAN]",0,1.60906087738,10.9589985616,16.8148191713,14.5778178497,14.2906338746,13.4813466109,15.253655213,12.1213256933,11.5794354244,19.4324663344,17.5259532135,15.7226772277,14.2642745509,13.5394871438,13.0764775776,12.8012387549,12.279991713,11.7164981967,11.1227298468,10.5300304676,10.8573272471,10.8358871777,10.8652992072,11.1576748331,11.7383650121,12.3635173686,12.8123670692,12.9149392065,12.9293503414
"Global.cp total import to from[Maize, REurope, USA]",121.116901247,211.780063524,322.095216076,337.865633132,221.549999441,230.723732083,250.089640958,273.438946255,271.639336334,196.96379312,270.07196312,278.19153828,265.103553655,251.967597988,244.029493359,239.063547434,240.119852068,239.563615765,240.4880903,241.565436494,242.718962384,252.449148991,254.001968083,255.642219463,263.516151144,280.201632886,300.29390121,317.473589263,326.950416879,326.109744799
"Global.cp total import to from[Maize, REurope, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, REurope, Brazil]",0,0,0,0,0.885521771641,0.134581112153,0.151520528778,1.15275990837,5.46787597544,2.82433187346,3.80692297894,3.85545103862,3.73618834881,3.60037998723,3.54610755782,3.53797688081,3.61849227317,3.66767202996,3.73459279062,3.79967395281,3.85575563754,3.90428062079,3.85444031656,3.86060125744,3.981409987,4.24140982552,4.55601945776,4.82866809279,4.98461111167,4.99465879751
"Global.cp total import to from[Maize, REurope, SOAmer]",41.462981067,71.8391334308,89.2732539132,64.5486414363,43.2894548427,36.4988489577,36.3487965545,46.7517946121,44.7841003456,43.4758540047,45.8264013823,39.1355286281,33.8161217159,30.3732241627,28.1953360076,26.5861825383,25.6832461348,24.7411399093,24.0734921181,23.5055495277,23.0218834007,23.0222236029,23.0623552988,23.2735428915,23.8740916121,25.1192382528,26.607324443,27.8247469504,28.3792409034,27.9963190903
"Global.cp total import to from[Maize, REurope, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, REurope, EU27]",0,0,0,4.63144648989,6.65565226704,2.5384361058,0,0.908677562618,1.53951877407,0.792009053638,0.00341792469443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, REurope, OthCEECIS]",0,0,0,0,3.16799221001,6.42280463687,3.90994390692,4.75005454076,11.9007007384,14.4138511663,13.0617664345,11.9180627792,11.4773457846,11.3098628874,11.3755185118,11.6466322666,13.0172183339,13.2427132964,13.2584477735,13.2998883814,13.3688112772,13.4963409085,13.1857057888,12.8136652978,12.7428886493,13.2848592657,14.0815501644,14.7346259981,15.0113765629,14.4513597515
"Global.cp total import to from[Maize, REurope, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, REurope, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, REurope, Russia]",4.53964375655,8.57581650303,21.7926479135,26.4702805283,18.4374748438,15.0761929759,10.3497056444,16.0362488971,22.0470846211,19.1408938903,21.380133098,21.6147607424,20.3245246843,19.0211190194,18.3426282822,17.9526573264,18.0209541118,17.9119851302,17.9095456531,17.8981373858,17.871612361,18.4953894776,18.96997184,19.7885452597,20.9224546675,22.7112904866,24.8025902002,26.6964898728,28.0079715745,28.7460891221
"Global.cp total import to from[Maize, REurope, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, REurope, INDIA]",19.214620303,25.3292639055,5.12574774549,2.75889016896,3.8752800645,1.99861593502,2.14395501482,4.37517529191,5.9742927753,0,4.98287055578,4.8113633756,3.60996384634,2.54490559356,1.67506602201,0.929215125836,0.226689041431,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, REurope, RSASIA]",0,0,0,0,0,0,0,0,0,0.0794856885504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, REurope, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, REurope, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, REurope, RSEASIA]",0,0,0,0,0,0,0,0.00930649655874,1.10873084572,1.33066316228,1.42575291907,0.551571409725,0.0698755882258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, REurope, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, REurope, OCEANIA]",22.8438095633,39.7470193238,62.6018330042,62.1801521236,39.7138713503,32.064961227,33.48265566,41.5474842804,35.1532350489,32.9424645085,44.032465147,44.9856996738,42.9232716657,40.6755039999,39.1790907606,38.428381876,38.9184274029,39.0116153397,39.1419511486,39.311104409,39.526151513,40.035915924,39.387625327,39.1962123783,40.2425863417,42.6018560468,45.3827587996,47.6229684592,48.6069050764,47.7509277918
"Global.cp total import to from[Maize, EU27, CAN]",0,0,129.25317825,0,0,0,807.024300073,0,0,0,0,939.617801212,1790.3557298,2563.47602848,3118.16027681,3585.00095352,3986.45079156,4320.88795207,4625.54215286,4908.62142413,5160.00981799,4499.75516277,3822.96871644,3275.1025408,2888.37630717,2599.84386444,2358.32548321,2136.39367481,1922.45064199,1522.77408558
"Global.cp total import to from[Maize, EU27, USA]",0,0,0,0,0,0,0,0,0,0,0,2.0875120831,4.22160159732,6.38538707472,7.97016456658,9.32103066433,10.6530124255,12.0290922203,13.5775539909,15.2877965846,17.1144523346,15.0932910255,12.9415478354,11.1330511269,9.85713085454,8.96831327919,8.27863891633,7.65226482346,7.03696582056,5.55424266593
"Global.cp total import to from[Maize, EU27, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, EU27, Brazil]",0,0,0,0,0,0,0,0,0,0,0,9.27659047081,19.7911002552,30.7451304332,39.2478747408,46.8813991999,54.653873244,62.7771657814,71.9540421816,82.1489640345,92.97112201,79.8466549267,67.1604017746,57.4862470376,50.9190417856,46.4131087908,42.9422515533,39.7922852409,36.6802074109,29.0852380965
"Global.cp total import to from[Maize, EU27, SOAmer]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, EU27, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, EU27, EU27]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, EU27, OthCEECIS]",0,0,0,0,0,0,8.88259120056,0,0,0,0,7.65358043619,15.1674446944,23.6588028128,30.7129426652,37.6329991925,57.6391597457,64.4338284681,70.2899602738,79.1304465251,88.6859238949,75.9139858718,63.1790849637,52.4578556135,44.7965052256,39.9521980567,36.4686044443,33.3568888317,30.3384674269,23.108189239
"Global.cp total import to from[Maize, EU27, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, EU27, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
